Report Title,Type,Field Name,Field Description,Order,Order of Report in System
General>External Charge Import,Columns,Beg Tm,Begin Time,6,8
General>External Charge Import,Columns,Rendering,Rendering Provider,7,8
General>External Charge Import,Columns,Bt Info,Charge Batch Information,8,8
General>External Charge Import,Columns,E/I,Source Number,9,8
General>External Charge Import,Columns,Sts,Encounter Charge Status (Abbreviated),10,8
General>External Charge Import,Columns,Sts Desc,,11,8
General>External Charge Import,Columns,Msg,,12,8
General>External Charge Import,Columns,Err Desc,,13,8
General>External Charge Import,Columns,Page Nbr,,14,8
General>External Charge Import,Columns,Created By,Created By,15,8
General>External Charge Import,Columns,Crt Dt,Create Date,16,8
General>External Charge Import,Columns,Modified By,Last Modified By,17,8
General>External Charge Import,Columns,Mod Dt,Last Modified Date,18,8
General>External Charge Import,Filter 1,Create Date,,19,8
General>External Charge Import,Filter 1,Succeeded,,20,8
General>External Charge Import,Settings List,Practices,,21,8
General>Patient Care,Columns,Prac Name,Prctice Name,1,9
General>Patient Care,Columns,Pat Name,Patient Name,2,9
General>Patient Care,Columns,Addr 1,Address 1,3,9
General>Patient Care,Columns,Addr 2,Address 2,4,9
General>Patient Care,Columns,City  ,City,5,9
General>Patient Care,Columns,State,State,6,9
General>Patient Care,Columns,Zip,Zip Code,7,9
General>Patient Care,Columns,County,County,8,9
General>Patient Care,Columns,Per Nbr,Person Number,9,9
General>Patient Care,Columns,SSN,Social Security Number,10,9
General>Patient Care,Columns,Md Rc,Medical record Number,11,9
General>Patient Care,Columns,Case #,,12,9
General>Patient Care,Columns,Case Sts,,13,9
General>Patient Care,Columns,Case Desc,,14,9
General>Patient Care,Columns,Referring,,15,9
General>Patient Care,Columns,Ref Add1,,16,9
General>Patient Care,Columns,Addr 2,Address 2,17,9
General>Patient Care,Columns,Ref City,,18,9
General>Patient Care,Columns,Ref St,,19,9
General>Patient Care,Columns,Ref Zip,,20,9
General>Patient Care,Columns,Pat Type,Patient Type,21,9
General>Patient Care,Columns,Eff Date,,22,9
General>Patient Care,Columns,Exp Date,,23,9
General>Patient Care,Columns,Onset Date,,24,9
General>Patient Care,Columns,Crt Dt,Create Date,25,9
General>Patient Care,Columns,Occur Cd,,26,9
General>Patient Care,Columns,Occur St,,27,9
General>Patient Care,Columns,Payer Name,Payer Name,28,9
General>Patient Care,Columns,Contracted Ind,Contacted Payer Indicator,29,9
General>Patient Care,Columns,Plan #,Plan Number,30,9
General>Patient Care,Columns,Policy #,Policy Number,31,9
General>Patient Care,Columns,Group Name,,32,9
General>Patient Care,Columns,Group #,Group Number,33,9
General>Patient Care,Columns,Fin Class,Financial Class,34,9
General>Patient Care,Columns,Case Bal,,35,9
General>Patient Care,Columns,Pyr SubGrp1,Payer Subgrouping 1,36,9
General>Patient Care,Columns,Pyr SubGrp2,Payer Subgrouping 2,37,9
General>Patient Care,Columns,Diag Cat 1,Diagnosis Category 1,38,9
General>Patient Care,Columns,Diag Cat 2,Diagnosis Category 2,39,9
General>Patient Care,Columns,Diag Cat 3,Diagnosis Category 3,40,9
General>Patient Care,Columns,Diag Cat 4,Diagnosis Category 4,41,9
General>Patient Care,Columns,Diag1,Diagnosis Code 1,42,9
General>Patient Care,Columns,Diag1 Dsc,Diagnosis Description 1,43,9
General>Patient Care,Columns,Diag2,Diagnosis Code 2,44,9
General>Patient Care,Columns,Diag2 Dsc,Diagnosis Description 2,45,9
General>Patient Care,Columns,Diag3,Diagnosis Code 3,46,9
General>Patient Care,Columns,Diag3 Dsc,Diagnosis Description 3,47,9
General>Patient Care,Columns,Diag4,Diagnosis Code 4,48,9
General>Patient Care,Columns,Diag4 Dsc,Diagnosis Description 4,49,9
General>Patient Care,Columns,Disbld Frm,,50,9
General>Patient Care,Columns,Diag Sub1 Grp 2,Diagnosis Sub1 Grouping 2 ,51,9
General>Patient Care,Columns,Diag Sub2 Grp 2,Diagnosis Sub1 Grouping 2,52,9
General>Patient Care,Columns,Diag Sub1 Grp 3,Diagnosis Sub1 Grouping 3,53,9
General>Patient Care,Columns,Diag Sub2 Grp 3,Diagnosis Sub1 Grouping 3,54,9
General>Patient Care,Columns,Diag Sub1 Grp 4,Diagnosis Sub1 Grouping 4,55,9
General>Patient Care,Columns,Diag Sub2 Grp 4,Diagnosis Sub1 Grouping 4,56,9
General>Patient Care,Columns,Diag Type 1,Diagnosis Type 1,57,9
General>Patient Care,Columns,Diag Type 2,Diagnosis Type 2,58,9
General>Patient Care,Columns,Diag Type 3,Diagnosis Type 3,59,9
General>Patient Care,Columns,Diag Type 4,Diagnosis Type 4,60,9
General>Patient Care,Columns,Disbld Frm,,61,9
General>Patient Care,Columns,Disbld To,,62,9
General>Patient Care,Columns,LtWrk Frm,,63,9
General>Patient Care,Columns,LtWrk To,,64,9
General>Patient Care,Columns,Surg Dt,,65,9
General>Patient Care,Columns,Lit Date,,66,9
General>Patient Care,Columns,MRI Date,,67,9
General>Patient Care,Columns,PT Prtcl,,68,9
General>Patient Care,Columns,Release Info,,69,9
General>Patient Care,Columns,Acc Desc,,70,9
General>Patient Care,Filter 1,Create Date,,71,9
General>Patient Care,Filter 1,Disabled From,,72,9
General>Patient Care,Filter 1,Return to Work,,73,9
General>Patient Care,Filter 1,Light Work From,,74,9
General>Patient Care,Filter 1,Surgery Date,,75,9
General>Patient Care,Filter 1,Litigation Date,,76,9
General>Patient Care,Filter 1,MRI Date,,77,9
General>Patient Care,Settings List,Diagnosis Category,,78,9
General>Patient Care,Settings List,Diagnosis SubGrp 1,,79,9
General>Patient Care,Settings List,Diagnosis SubGrp 2,,80,9
General>Patient Care,Settings List,Marketing Plan Type,,81,9
General>Patient Care,Settings List,Patient Status,,82,9
General>Patient Care,Settings List,Practices,,83,9
General>Patient Care,Settings List,Primary Physician,,84,9
General>Patient Care,Settings List,Provider SubGrp 1,,85,9
General>Patient Care,Settings List,Provider SubGrp 2,,86,9
General>Patient Care,Settings List,Referring Phys,,87,9
General>Patient Chart Demographics,Columns,Prac Name,Practice Name,1,10
General>Patient Chart Demographics,Columns,Pat Name,Patient Name,2,10
General>Patient Chart Demographics,Columns,Per Nbr,Person Number,3,10
General>Patient Chart Demographics,Columns,Prior Lst Name,,4,10
General>Patient Chart Demographics,Columns,Moth Maiden Name,Mothers Maiden Name,5,10
General>Patient Chart Demographics,Columns,Md Rc,Medical Record Number Terminal Digit,6,10
General>Patient Chart Demographics,Columns,MD Rc Term Dig,Medical Record Number Terminal Digit,7,10
General>Patient Chart Demographics,Columns,Guar Name,Guarantor  Name,8,10
General>Patient Chart Demographics,Columns,Pat/Guar Rel,,9,10
General>Patient Chart Demographics,Columns,Contact Pref,,10,10
General>Patient Chart Demographics,Columns,Hm Phone,Home Phone,11,10
General>Patient Chart Demographics,Columns,Hm Phone Pos ,,12,10
General>Patient Chart Demographics,Columns,Hm Phone Comment,,13,10
General>Patient Chart Demographics,Columns,Day Phone,Day Phone,14,10
General>Patient Chart Demographics,Columns,Day Phone Pos,,15,10
General>Patient Chart Demographics,Columns,Day Phone Comment,,16,10
General>Patient Chart Demographics,Columns,Alt Phone,,17,10
General>Patient Chart Demographics,Columns,Alt Phone Pos,,18,10
General>Patient Chart Demographics,Columns,Alt Phone Comment ,,19,10
General>Patient Chart Demographics,Columns,Sec Hm Phone,,20,10
General>Patient Chart Demographics,Columns,Sec Hm Phone Pos,,21,10
General>Patient Chart Demographics,Columns,Sec Hm Phone Com..,,22,10
General>Patient Chart Demographics,Columns,Sec Hm Phone Pos,,23,10
General>Patient Chart Demographics,Columns,Sec Hm Phone Com..,,24,10
General>Patient Chart Demographics,Columns,Email Addr,Email Address,25,10
General>Patient Chart Demographics,Columns,Email Addr Pos,,26,10
General>Patient Chart Demographics,Columns,Email Addr Comment,,27,10
General>Patient Chart Demographics,Columns,Cell Ph,Cell Phone,28,10
General>Patient Chart Demographics,Columns,SSN,Social Security Number,29,10
General>Patient Chart Demographics,Columns,Birth Dt,Birth Date,30,10
General>Patient Chart Demographics,Columns,Pat Age,Patient Age,31,10
General>Patient Chart Demographics,Columns,Pat Age in Years,Patient Age in Years,32,10
General>Patient Chart Demographics,Columns,Pat Age in Months,Patient Age in Months,33,10
General>Patient Chart Demographics,Columns,Exp Date,Expired Indicator,34,10
General>Patient Chart Demographics,Columns,Exp Dt,Expiration Date,35,10
General>Patient Chart Demographics,Columns,Gen,Gender Code,36,10
General>Patient Chart Demographics,Columns,Gender Desc,Gender Description,37,10
General>Patient Chart Demographics,Columns,Mar,Maritial Status,38,10
General>Patient Chart Demographics,Columns,Smk,,39,10
General>Patient Chart Demographics,Columns,Vet,,40,10
General>Patient Chart Demographics,Columns,Emp,,41,10
General>Patient Chart Demographics,Columns,Addr 1,Address 1,42,10
General>Patient Chart Demographics,Columns,Addr 2,Address 2,43,10
General>Patient Chart Demographics,Columns,City,City,44,10
General>Patient Chart Demographics,Columns,Addr 2,Address 2,45,10
General>Patient Chart Demographics,Columns,City,City,46,10
General>Patient Chart Demographics,Columns,State,State,47,10
General>Patient Chart Demographics,Columns,Zip,Zip Code,48,10
General>Patient Chart Demographics,Columns,Country,,49,10
General>Patient Chart Demographics,Columns,Country,Country,50,10
General>Patient Chart Demographics,Columns,Primary Care Phys,Primary Care Physician,51,10
General>Patient Chart Demographics,Columns,Prim Dental Prov Na..,Primary Care Provider Name,52,10
General>Patient Chart Demographics,Columns,Rendering,Rendering Provider,53,10
General>Patient Chart Demographics,Columns,Reffering,,54,10
General>Patient Chart Demographics,Columns,Provider SubGrp 1,Provider Subgrouping 1,55,10
General>Patient Chart Demographics,Columns,Provider SubGrp 2,Provider Subgrouping 2,56,10
General>Patient Chart Demographics,Columns,Co-Manged,,57,10
General>Patient Chart Demographics,Columns,Mrkt Plan Name,Marketing Plan Name,58,10
General>Patient Chart Demographics,Columns,Mrkt Plan Type,Marketing Plan Type,59,10
General>Patient Chart Demographics,Columns,Mrkt Comments,Marketing Plan Comments,60,10
General>Patient Chart Demographics,Columns,Cont,Contact Name,61,10
General>Patient Chart Demographics,Columns,Lst Enc,Encounter Number,62,10
General>Patient Chart Demographics,Columns,Lst Enc Dt,Encounter Billable Date,63,10
General>Patient Chart Demographics,Columns,Lst Enc Loc Name,Last Encounetr Location,64,10
General>Patient Chart Demographics,Columns,Task Cnt,Task Count,65,10
General>Patient Chart Demographics,Columns,Mrkt Desc,Marketing Description,66,10
General>Patient Chart Demographics,Columns,Task Cnt,Task Count,67,10
General>Patient Chart Demographics,Columns,Mrkt Desc,Marketing Description,68,10
General>Patient Chart Demographics,Columns,Stmt,Print Statement Indicator,69,10
General>Patient Chart Demographics,Columns,Lst Stmt Prt Dt,Last Statement Print Date,70,10
General>Patient Chart Demographics,Columns,Lst Ltr Dt,,71,10
General>Patient Chart Demographics,Columns,HOH Name,Head OF Household Name,72,10
General>Patient Chart Demographics,Columns,Sliding Fee Desc,Sliding Fee Description,73,10
General>Patient Chart Demographics,Columns,Sliding Fee Eff Dt,Sliding Fee Effevtive Date,74,10
General>Patient Chart Demographics,Columns,Sliding Fee Exp Dt,Sliding Fee Expiration Date ,75,10
General>Patient Chart Demographics,Columns,Fam Size,Head OF Household Family Size,76,10
General>Patient Chart Demographics,Columns,Fam Yr Inc,Head of Household Family Income,77,10
General>Patient Chart Demographics,Columns,Ref ,Refuced To Report Income,78,10
General>Patient Chart Demographics,Columns,Verify Dt,Head of House Verify Date,79,10
General>Patient Chart Demographics,Columns,Pct Poverty,Percent of Poverty,80,10
General>Patient Chart Demographics,Columns,Poverty Cat,Poverty Category,81,10
General>Patient Chart Demographics,Columns,LMP,Chart User Defined 1,82,10
General>Patient Chart Demographics,Columns,EDC ,Chart User Defined 2,83,10
General>Patient Chart Demographics,Columns,Personal Authorized,Chart User Defined 3,84,10
General>Patient Chart Demographics,Columns,Personal Authorized,Chart User Defined 4,85,10
General>Patient Chart Demographics,Columns,OB Encounter Fee,Chart User Defined 5,86,10
General>Patient Chart Demographics,Columns,Full HER,Chart User Defined 6,87,10
General>Patient Chart Demographics,Columns,Secondary Patient St.,Chart User Defined 7,88,10
General>Patient Chart Demographics,Columns,Full HER,Chart User Defined 6,89,10
General>Patient Chart Demographics,Columns,Secondary Patient St.,Chart User Defined 7,90,10
General>Patient Chart Demographics,Columns,Pat Sts,Patient Status,91,10
General>Patient Chart Demographics,Columns,Pat Sts Rsn,Patient Status Reason,92,10
General>Patient Chart Demographics,Columns,Reminder Call Opt O,Enterprise Client Defined 1,93,10
General>Patient Chart Demographics,Columns,Priv Iss,,94,10
General>Patient Chart Demographics,Columns,Priv Rec,,95,10
General>Patient Chart Demographics,Columns,Priv Notes,,96,10
General>Patient Chart Demographics,Columns,Race,,97,10
General>Patient Chart Demographics,Columns,Preferred Language,,98,10
General>Patient Chart Demographics,Columns,Religion,,99,10
General>Patient Chart Demographics,Columns,Church,,100,10
